entity,concepturi,person
BCURA,id-less,Rosalind Franklin
PhD,http://www.wikidata.org/entity/Q752297,Rosalind Franklin
Cambridge,http://www.wikidata.org/entity/Q35794,Rosalind Franklin
Paris,http://www.wikidata.org/entity/Q90,Rosalind Franklin
chercheur,http://www.wikidata.org/entity/Q55845988,Rosalind Franklin
Jacques Mering,http://www.wikidata.org/entity/Q17626853,Rosalind Franklin
Laboratoire Central des Services Chimiques de l'État,http://www.wikidata.org/entity/Q21704870,Rosalind Franklin
King's College London,http://www.wikidata.org/entity/Q245247,Rosalind Franklin
John Randall,http://www.wikidata.org/entity/Q1645453,Rosalind Franklin
Maurice Wilkins,http://www.wikidata.org/entity/Q184659,Rosalind Franklin
Birkbeck College,http://www.wikidata.org/entity/Q375606,Rosalind Franklin
"Gertrude ""Trudy"" Belle Elion",id-less,Gertrude Elion
American,http://www.wikidata.org/entity/Q846570,Gertrude Elion
Nobel Prize in Physiology or Medicine,http://www.wikidata.org/entity/Q80061,Gertrude Elion
George H. Hitchings,http://www.wikidata.org/entity/Q310487,Gertrude Elion
James Black,http://www.wikidata.org/entity/Q110974,Gertrude Elion
Rita Levi-Montalcini,http://www.wikidata.org/entity/Q185007,Rita Levi-Montalcini
Italian,http://www.wikidata.org/entity/Q652,Rita Levi-Montalcini
Nobel Prize in Physiology or Medicine,http://www.wikidata.org/entity/Q80061,Rita Levi-Montalcini
Stanley Cohen,http://www.wikidata.org/entity/Q232299,Rita Levi-Montalcini
Italian,http://www.wikidata.org/entity/Q652,Rita Levi-Montalcini
Nobel,http://www.wikidata.org/entity/Q7191,Rita Levi-Montalcini
Rome,http://www.wikidata.org/entity/Q220,Rita Levi-Montalcini
